prior_variant,note,model,family,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,diagnostics_ok,ppc_total_pass,ppc_zero_pass,ppc_max_pass,moran_p,pearson_disp,pearson_disp_camera,ppc_pit_ks,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,max_abs_month_log_rate_ratio,mean_month_coef_sd,mesh_vertices,intercept_prior_mean,intercept_prior_sd,month_prior_sd,nb_logsize_prior_mean,nb_logsize_prior_sd,spatial_range_fixed_m,spatial_range_prior_range0,spatial_range_prior_prob_below,spatial_sd_prior_sigma0,spatial_sd_prior_prob_above,delta_waic,delta_dic
final_current,"final selected priors: estimated range PC prior P(range < 1000 m) = 0.5, broad spatial SD, month SD 1, NB log-size SD 2",nb_spatial_month,nbinomial,271.61593220985117,20.32694399961656,269.4478939610548,16.414732061587223,-142.68278926493107,0,TRUE,TRUE,TRUE,TRUE,0.686,0.5762300662674749,0.603146168035526,0.6054690271630487,1.9042768800322254,617.976294362679,0.8193876583665637,1.071855282531094,0.529341707115304,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,NA,1000,0.5,1.5,0.05,0.7339802006086416,0.6946394562441469
fixed_range_500,shorter fixed spatial range,nb_spatial_month,nbinomial,270.948096805197,19.972324119503526,269.57415262374104,16.789667605205526,-141.09406109309953,0,TRUE,TRUE,TRUE,TRUE,0.684,0.577186847450253,0.6001001743497961,0.5259220158806175,1.9808826308399345,NA,0.8210880368647152,1.0700283349478537,0.528147954495009,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,500,500,0.5,1.5,0.05,0.8602388632949101,0.026804051589977007
fixed_range_1000,old stabilising choice: fixed 1000 m spatial range,nb_spatial_month,nbinomial,272.3942751871447,17.776534412295973,271.6107079485222,15.52148851364933,-141.61223875640698,0,TRUE,TRUE,TRUE,TRUE,0.714,0.614632493139577,0.6823686066630764,0.9851952284908907,1.4976102529817517,NA,0.8563701178570957,1.0766103326104886,0.5303731233503123,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,1000,1000,0.5,1.5,0.05,2.8967941880760577,1.472982433537652
fixed_range_1500,longer fixed spatial range,nb_spatial_month,nbinomial,274.33654663391513,15.189711435479296,273.8941538319937,13.691903497420991,-142.06687520829044,0,TRUE,TRUE,TRUE,TRUE,0.534,0.675766186619363,0.792137711822124,0.8561920680823877,0.9834092158693714,NA,0.8494889886616104,1.073864922263658,0.5323481488312438,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,1500,1500,0.5,1.5,0.05,5.180240071547587,3.4152538803081143
fixed_range_2500,much longer fixed spatial range,nb_spatial_month,nbinomial,275.96546255363467,11.126341151279178,276.3541276286972,10.781402598143467,-142.45160511980689,0,TRUE,TRUE,TRUE,TRUE,0.29,0.7962581034152878,0.9877104976812751,0.47443596735286375,0.6158069680784688,NA,0.6514862112549435,1.0655024216764217,0.5353650818426658,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,2500,2500,0.5,1.5,0.05,7.640213868251067,5.044169800027646
estimated_range_pc1500,estimated spatial range with PC prior P(range < 1500 m) = 0.5,nb_spatial_month,nbinomial,271.957874931124,20.010104066464123,269.8195733926987,16.18381622807607,-142.94553613102343,0,TRUE,TRUE,TRUE,TRUE,0.76,0.5826418951625034,0.6181621603503521,0.8879703097078752,1.8776148831801556,742.2212849228018,0.8273491755328476,1.0742864707912587,0.5300058068449021,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,NA,1500,0.5,1.5,0.05,1.105659632252582,1.0365821775170048
spatial_sd_tighter,"tighter spatial SD prior, P(SD > 0.85) = 0.05",nb_spatial_month,nbinomial,272.5379220321402,17.711960058367964,271.06704175948727,14.923934429444689,-143.22216717914083,0,TRUE,TRUE,TRUE,TRUE,0.508,0.6393154327232995,0.7030326311738841,0.6066561276196147,1.6421060795388187,619.4475373740208,0.7199284813357818,1.0624351486131103,0.5306836445568086,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,NA,1000,0.5,0.85,0.05,2.353127999041135,1.6166292785331962
spatial_sd_wider,"wider spatial SD prior, P(SD > 2.5) = 0.05",nb_spatial_month,nbinomial,271.44068370056084,21.585110536488628,268.8598815924269,17.06933239204097,-142.5168816055067,0,TRUE,TRUE,TRUE,TRUE,0.758,0.5514653300028627,0.5665232346392642,0.7928370594339615,2.052400746465975,628.4233201380684,0.8771399619324949,1.075764075420211,0.5292383519788989,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,NA,1000,0.5,2.5,0.05,0.14596783198078356,0.5193909469538198
month_sd_0_5,"more regularising month-effect prior, SD 0.5 on log-rate ratios",nb_spatial_month,nbinomial,270.921292753607,18.8157555558781,268.71391376044613,15.141489472962299,-141.5715823474695,0,TRUE,TRUE,TRUE,TRUE,0.684,0.5883480644654686,0.6071681822321404,0.2787383563854866,1.8156132061154608,615.0404115513852,0.8129398664855225,0.4188284842843138,0.37046483496940547,2493,-4.5659320813792315,2.5,0.5,0.6931471805599453,2,NA,1000,0.5,1.5,0.05,0,0
month_sd_2,"weaker month-effect prior, SD 2 on log-rate ratios",nb_spatial_month,nbinomial,271.90898945495775,21.17238226160515,269.7961515027458,17.139193555454373,-144.8552878253926,0,TRUE,TRUE,TRUE,TRUE,0.706,0.5656416875574188,0.5942739218190926,0.1812548661217108,1.897256106586268,625.5205167890035,0.8247726639829375,2.2487282816874923,0.6788923318816468,2493,-4.5659320813792315,2.5,2,0.6931471805599453,2,NA,1000,0.5,1.5,0.05,1.0822377422996396,0.9876967013507283
